t_mid_s,n_frames,B_m,Z_m,bz_ratio,mean_abs_residual_m
931.9,20,2.9834155131295774,2.55105,1.169485315117139,0.9929193300580978
933.9,20,3.1354665389408067,2.5802,1.2152029063409064,1.0175327922056616
937.4300000000001,20,1.536068296914096,2.79365,0.5498427852143597,1.312383280454576
941.1300000000001,20,3.280042855997032,3.04765,1.07625313142816,1.687238160935193
943.3,20,5.998561308798739,3.2010999999999994,1.8739062537248883,1.9801582587447761
945.3,20,6.586561465557821,3.2245500000000007,2.0426296585749393,2.023335382196158
947.3,20,4.458896042320228,3.0492999999999997,1.4622687312892233,1.886264406786561
949.3,20,2.530414817508628,2.7106999999999997,0.933491281775419,1.5626328123857076
951.3,20,2.52707751827803,2.2544500000000003,1.1209286159719798,1.0784084169772266
953.3,20,2.529163859099154,1.79785,1.406771343048171,0.6180682090458273
955.3,20,2.5223149912012586,1.35775,1.8577168044200025,0.30008480829492207
957.3,20,2.5351968783341157,0.9328500000000002,2.7176897446900523,0.4516697820506991
959.3,20,2.543132712325151,0.5745000000000001,4.426688794299652,0.8617532326884568
961.3,20,2.524269390171754,0.34605,7.294522150474653,1.1019481026820839
963.3,20,2.4881436656889324,0.2036,12.220744919886702,1.2557362975879012
965.3,20,1.1413712741368163,0.1374,8.306923392553248,1.3551018762335183
967.3,20,2.569959291312736,0.13865,18.53558810899918,1.3801783085490764
969.3,20,2.27491867093615,0.12715000000000004,17.891613613339754,1.436375140416771
971.3,20,3.3580106924319035,0.13635,24.62787453195382,1.4138280524085463
973.3,20,3.004806200994723,0.13815000000000002,21.7503163300378,1.3626868486157058
