name,nearest_train_dist_m,psnr
f001350,0.10628023743629456,35.02055740356445
f001830,0.12306256592273712,36.95347595214844
f001790,0.12441213428974152,38.60016632080078
f001750,0.1447821855545044,36.23688507080078
f001710,0.16739018261432648,34.65106201171875
f001670,0.1744433045387268,36.72058868408203
f001870,0.18901702761650085,36.12277603149414
f001630,0.21032924950122833,35.43560028076172
f001910,0.21081280708312988,32.70490264892578
f001990,0.24268609285354614,33.7674674987793
f000990,0.25352323055267334,35.47713851928711
f001190,0.2547741234302521,35.432193756103516
f002230,0.2575879991054535,36.25982666015625
f001950,0.2623443603515625,32.678627014160156
f002190,0.2667982876300812,34.72407531738281
f001270,0.26785558462142944,35.83220291137695
f001310,0.2694542109966278,35.212928771972656
f001230,0.2854272723197937,36.19074249267578
f001390,0.28918325901031494,36.634918212890625
f001430,0.30074742436408997,35.47673034667969
f001470,0.30898773670196533,35.60610580444336
f002030,0.3150584101676941,34.685462951660156
f001150,0.31927162408828735,35.36795425415039
f000790,0.3333641588687897,30.885583877563477
f000910,0.34806105494499207,33.05330276489258
f002150,0.35147011280059814,35.16581726074219
f002070,0.361318439245224,33.045684814453125
f001110,0.37335336208343506,35.021568298339844
f001030,0.3824169933795929,37.28457260131836
f001510,0.3947225511074066,34.47624588012695
f001550,0.40510597825050354,34.371307373046875
f001590,0.4092768430709839,35.12976837158203
f000870,0.4255853593349457,34.86564254760742
f000950,0.4537651836872101,36.363922119140625
f002110,0.47635582089424133,32.721519470214844
f001070,0.5367038249969482,35.60868453979492
f000750,0.9351041913032532,32.31804656982422
f000830,1.1126668453216553,34.714378356933594
