name,entropy,grad_energy
0000,6.717186859903494,9.670916832434932
0001,6.662477928439094,9.144870063832615
0002,6.618831597936143,9.177391631056643
0003,6.571290314714568,9.206190387237793
0004,6.517170635027146,9.160119383802389
0005,6.476174652279966,9.300272246638578
0006,6.437949361731935,9.304025801402435
0007,6.40395684987605,9.340920997751947
0008,6.369378288059098,9.302058252089983
0009,6.334080070023127,9.319208891205012
0010,6.304404257082393,9.460086818285435
0011,6.287588887796367,9.630705966264971
0012,6.266719496714109,9.733601644569129
0013,6.232371587425833,9.566480804537726
0014,6.182941951598152,9.406602039789554
0015,6.158589399489671,9.65644894687066
0016,6.12900348534301,9.590600707622862
0017,6.111204995097616,9.784272719282171
0018,6.099843683408833,9.768299238146817
0019,6.092695040174229,9.798600241639118
0020,6.098185152182677,9.817883842452058
0021,6.113151146169164,9.711561674486935
0022,6.122723953442778,9.700917915017238
0023,6.134420938272105,9.732336601155758
0024,6.157390026215189,9.756146198419655
0025,6.172273110203581,9.773514048235695
0026,6.189689619639903,9.704896994982157
0027,6.210362813505603,9.71612403597536
0028,6.211811015304976,9.516333802328894
0029,6.213550710974356,9.1897985922413
0030,6.175220169503017,9.291759889396419
0031,6.1537383666737755,8.730246902228595
0032,6.233750733149449,8.871212805887701
0033,6.285230823498799,9.300635298953107
0034,6.239330052120843,9.025873298547438
0035,6.197176739997287,9.171045668294816
0036,6.163359625775554,9.187182702912905
0037,6.137862235546385,9.166671608764553
0038,6.118659110499012,9.342008099830707
0039,6.108582700079817,9.540218067578918
0040,6.102882526749313,9.653231855164456
0041,6.118901980392074,9.991032999165123
0042,7.0924348060559295,11.671944302615568
0043,6.114109032353876,10.029488808367047
0044,6.153132325866908,8.565723598463931
0045,6.241221173094902,8.785498710607792
0046,6.301898070208981,8.681451677261073
0047,6.305709109780751,8.891217370767839
0048,6.255341189569863,9.124234385801373
0049,6.190069681562185,8.910295155891344
0050,6.082452534903099,8.982247554927051
0051,5.985320821327214,9.443484585578517
0052,5.993497489317149,9.428884749136243
0053,6.0488607155896865,9.706446351677252
0054,6.14368182904863,10.181978467005976
0055,6.210988021443794,10.14767111097104
0056,6.24106955909073,10.148963006679864
0057,6.253155263752315,10.093127208614911
0058,6.254061808377748,9.846192552505157
0059,6.2341462063575275,9.62535836142522
0060,6.231188698390597,9.848443038669469
0061,6.223720783579264,9.844781009895545
0062,6.219781396337989,10.21213151395539
0063,6.225765020779346,10.569006418550547
0064,6.233087570012048,10.651547814670346
0065,6.26557872307181,10.325687439636344
0066,6.328588774580639,10.113246192319666
0067,6.39964410183322,9.991959081118143
0068,6.465552019312475,10.110074035312135
0069,6.542754798141282,10.318155514516734
0070,6.60799426313345,10.160685944707346
0071,6.648014878844017,10.034883352023325
0072,6.649706102121077,10.180818528575807
0073,6.609935012633443,10.326990667102507
0074,6.569712383978309,10.53656470284624
0075,6.515137364318041,10.939724714298826
0076,6.446499993346174,10.984162390370422
0077,6.438322690551791,11.10957795501455
0078,6.455900478441784,11.279393207605724
0079,6.460215094939326,11.63510855225182
0080,6.452685242111526,12.226156530233704
0081,6.446732643266424,12.681551069883854
0082,6.444659282563695,13.4159610376843
0083,6.433764357431383,13.876008597787255
0084,6.411852307277334,14.090278684238571
0085,6.376555497045423,14.07004687319818
0086,6.35148462700055,14.253676886725534
0087,6.343780935826672,14.294092780753491
0088,6.356782132829145,14.421489749954414
0089,6.39908475079925,14.52546097913369
0090,6.452109294022128,14.834764354847557
0091,6.493512271109905,15.287825933683942
0092,6.519874182584093,15.775279322674331
0093,6.533990052055148,15.99888113874383
0094,6.536737359520796,16.093270820766158
0095,6.535969128688087,15.939662088624491
0096,6.5418647254725775,15.680587201324357
0097,6.549669577857701,15.52844405605217
0098,6.566914608543097,15.613564181919637
0099,6.592448276663111,15.633493134718606
0100,6.608064903329543,15.54635391146465
0101,6.624387400693338,15.638976605339074
0102,6.6468479830545295,15.80286190782717
0103,6.66696279933665,15.791872850176958
0104,6.683688096362538,15.914869217114854
0105,6.703396335562316,16.29346538743424
0106,6.7184759631828745,16.395085250514047
0107,6.739362892377439,16.70394369097573
0108,6.7559907851034104,17.203107790615576
0109,6.766342238935447,17.750343402881
0110,6.775672889080483,18.075223985451462
0111,6.786227679079158,18.18308407248635
0112,6.795557312675127,18.495547406106553
0113,6.800543948600101,18.33100975903638
0114,6.806577717922935,17.947327647221204
0115,6.8095206058253055,17.695943655015476
0116,6.811728936309965,17.402009374364308
0117,6.814984463141279,17.13824722304345
0118,6.814297148373578,16.788100890268964
0119,6.820406420172511,16.68053991232209
0120,6.842148474180615,17.9590092654993
0121,6.806571442007565,16.55370384163019
0122,6.788393224216542,16.238757600869096
0123,6.782645470471257,16.37142920134135
0124,6.765659519040964,16.53474063970828
0125,6.741642889818576,16.955545403101542
0126,6.715441853039348,17.1866416519606
0127,6.685702436112178,17.319714509103434
0128,6.650845615735852,17.61663827476241
0129,6.6230229403432075,17.465014813283954
0130,6.6023583272850175,17.364477005443774
0131,6.582651543275362,17.350611221153674
0132,6.563693240263606,17.25205524597985
0133,6.543893162843314,17.044846442200296
0134,6.525046772685966,16.889331879229367
0135,6.504689692167051,16.62042789805235
0136,6.48600669306536,16.440404617006816
0137,6.4619147804933545,16.24188928619583
0138,6.440195340811151,16.04199732092208
0139,6.421220323981688,15.763345214908437
0140,6.400483693862347,15.419424816587894
0141,6.378349088746744,15.248752911959116
0142,6.354683125509453,14.948627498712524
0143,6.329905208106746,14.697621563654653
0144,6.30875147019699,14.545016580834666
0145,6.293776688708548,14.430357922522846
0146,6.290146152433986,14.425969974678143
0147,6.296941375268787,14.554779782070113
0148,6.308834117508116,14.50667082824132
0149,6.319929803375537,14.458040264257647
0150,6.333481490021951,14.513407371464982
0151,6.347347675453537,14.43900111009892
0152,6.364445305925524,14.435956333155035
0153,6.387299640645754,14.602977251659574
0154,6.3971509837765606,14.555899342673506
0155,6.405116449746274,14.707348280247714
0156,6.413250699900183,14.810061608355843
0157,6.418840608372943,14.752412809433727
0158,6.432838682362773,14.736100700613074
0159,6.446767304415112,14.79171694368441
0160,6.451251347880529,14.785468399633512
0161,6.453070888263745,14.74388224491372
0162,6.4552029855846165,14.821940625112518
0163,6.446391755370361,14.788761727471183
0164,6.432681487605556,14.825497429695446
0165,6.422393272548875,14.801481872613685
0166,6.406102789499729,15.113318231737546
0167,6.347545298765972,14.26630820815799
0168,6.349569101404818,14.67751175979477
0169,6.3368701896129025,14.63217436646368
0170,6.325684674369678,14.687768397580603
