name,nearest_train_dist_m,psnr
f001350,0.10628023743629456,35.50579833984375
f001830,0.12306256592273712,37.15715408325195
f001790,0.12441213428974152,38.66878128051758
f001750,0.1447821855545044,36.60853958129883
f001710,0.16739018261432648,33.98810577392578
f001670,0.1744433045387268,37.01866912841797
f001870,0.18901702761650085,37.03635787963867
f001630,0.21032924950122833,35.75505828857422
f001910,0.21081280708312988,32.868221282958984
f001990,0.24268609285354614,34.29949188232422
f000990,0.25352323055267334,35.20645523071289
f001190,0.2547741234302521,35.83769607543945
f002230,0.2575879991054535,36.02980041503906
f001950,0.2623443603515625,32.56903839111328
f002190,0.2667982876300812,35.16841506958008
f001270,0.26785558462142944,36.204811096191406
f001310,0.2694542109966278,35.93251037597656
f001230,0.2854272723197937,36.448116302490234
f001390,0.28918325901031494,36.95600891113281
f001430,0.30074742436408997,35.747989654541016
f001470,0.30898773670196533,36.192630767822266
f002030,0.3150584101676941,34.367252349853516
f001150,0.31927162408828735,36.1885986328125
f000790,0.3333641588687897,30.860727310180664
f000910,0.34806105494499207,33.162227630615234
f002150,0.35147011280059814,35.554908752441406
f002070,0.361318439245224,32.667118072509766
f001110,0.37335336208343506,35.769386291503906
f001030,0.3824169933795929,37.51344299316406
f001510,0.3947225511074066,35.18284606933594
f001550,0.40510597825050354,35.46916961669922
f001590,0.4092768430709839,33.99202346801758
f000870,0.4255853593349457,34.889801025390625
f000950,0.4537651836872101,36.40299987792969
f002110,0.47635582089424133,32.60108947753906
f001070,0.5367038249969482,36.45207977294922
f000750,0.9351041913032532,32.371192932128906
f000830,1.1126668453216553,34.6428337097168
