name,entropy,grad_energy,psnr
f023250,6.722829330872813,6.926546777570758,36.95161056518555
f023255,6.666902858484734,5.823643374025948,37.954376220703125
f023260,6.625112496220741,6.16141778112218,39.71519088745117
f023265,6.584347746824239,7.124492871847602,40.507816314697266
f023270,6.525158358139947,5.97444301885615,40.83969497680664
f023275,6.484676365175129,6.207844629288138,40.18928909301758
f023280,6.452326007310253,7.038034203533364,40.281490325927734
f023285,6.4090159124418555,6.113825300753235,40.291839599609375
f023290,6.372017832561404,6.03441268878611,40.242271423339844
f023295,6.3437858810188406,7.002282177617829,39.743377685546875
f023300,6.310300966718881,6.334610883901349,40.214141845703125
f023305,6.291495535528581,6.465114876941034,40.53506851196289
f023310,6.271887867835886,7.581735933231141,40.009708404541016
f023315,6.21558047885157,6.104557960541399,40.66807174682617
f023320,6.160107112111494,5.871480379233755,40.84577178955078
f023325,6.131973106311053,7.309499907322033,39.32242965698242
f023330,6.0909469589076,6.039998752650434,39.21734619140625
f023335,6.073052607507815,6.232404283527263,40.037960052490234
f023340,6.075960175729792,7.127403341737103,39.879661560058594
f023345,6.079812632683781,6.436857887320306,40.524261474609375
f023350,6.100323365298555,6.640180612675105,40.85468673706055
f023355,6.124800995674382,7.0182564842944615,40.796180725097656
f023360,6.133796200793271,6.175469993457095,41.35310745239258
f023365,6.146640229440362,6.3015038925169975,41.107574462890625
f023370,6.173826147007469,7.078843270532745,40.36819076538086
f023375,6.185274499983032,6.54494008976994,40.924015045166016
f023380,6.200310773764684,6.292387414800545,41.194580078125
f023385,6.222080053031108,7.124977205823831,40.64385223388672
f023390,6.217522477872571,6.358328774143217,40.54034423828125
f023395,6.21053110926373,6.191595667723817,38.89024353027344
f023400,6.171377851230793,8.331517423755665,37.82440948486328
f023490,6.24090156895002,8.156196447358527,37.36555480957031
f023495,6.162286609588598,6.390615105752076,36.407325744628906
f023500,6.03817468555055,6.144869265837766,39.269325256347656
f023505,5.978450788381648,7.972406614812696,38.80008316040039
f023510,5.980719021106977,6.415663816047284,39.685115814208984
