name,entropy,grad_energy,psnr
f000750,7.391136603563908,14.218270659569194,32.31315612792969
f000755,7.427343323313627,11.854555297239598,34.807273864746094
f000760,7.455821977950178,11.258873731968631,35.74182891845703
f000765,7.4741095886212925,13.205304617402927,35.49234390258789
f000770,7.466011756340466,11.144409374238483,36.54859924316406
f000775,7.465247559356305,10.825473265080925,37.11113357543945
f000780,7.477300505487022,13.004846433937205,36.0347785949707
f000785,7.489212235245343,11.166217786689414,35.81520462036133
f000790,7.497461809115433,11.043516707775591,33.36415100097656
f000795,7.489758650722303,13.447502987567768,33.922828674316406
f000800,7.461329322227145,11.586570148497035,34.83219528198242
f000805,7.432142759446867,11.458607873511397,35.230045318603516
f000810,7.43570637635962,13.681915497825486,34.26505661010742
f000815,7.4742330503433045,11.444994198355765,35.43643569946289
f000820,7.537493017611494,11.124182754628537,35.87626266479492
f000825,7.572796965064152,13.123357912196193,35.232601165771484
f000830,7.570037557805764,11.118784054082605,35.3966064453125
f000835,7.55723769539776,10.943853955246194,36.25019454956055
f000840,7.54942546959011,13.326727535637481,35.47958755493164
f000845,7.500763628679472,11.300871810476377,36.082340240478516
f000850,7.454056158740514,11.292584578557406,36.09138870239258
f000855,7.474115833917581,13.869106668806447,35.22951126098633
f000860,7.485572087139284,11.54311589632624,35.93450164794922
f000865,7.484980608589421,11.023605022080469,35.66643142700195
f000870,7.505448744235627,12.983985362161459,34.81452178955078
f000875,7.497328915099288,10.82965931656543,36.21992111206055
f000880,7.489747885030104,10.42428374325321,36.523746490478516
f000885,7.499282528249258,12.035274509511954,36.50514602661133
f000890,7.497224347552143,10.470545052569785,37.422889709472656
f000895,7.516286979609052,10.562218538442943,36.88158416748047
f000900,7.526331770588806,12.671107913423802,35.87836456298828
f000905,7.521466728576131,11.109597819068197,35.6668701171875
f000910,7.500329403234103,11.004690533232326,35.05990219116211
f000915,7.497520700942284,13.374556032249382,36.08330535888672
f000920,7.4768035591696895,11.482703264903709,36.65186309814453
f000925,7.473133747667764,11.17531654643396,36.627418518066406
f000930,7.491168685092173,13.241962027555013,35.92074966430664
f000935,7.508915172823509,11.393809824425801,37.116275787353516
f000940,7.525885887315129,11.138772136382636,37.17171096801758
f000945,7.542036894363426,12.998512270250343,36.29248809814453
f000950,7.536705571274752,11.331773180394743,37.007164001464844
f000955,7.531839121221182,11.122937778710694,37.10820770263672
f000960,7.525958903364349,13.056051977320683,36.066986083984375
f000965,7.507800853143653,11.457345695774853,36.899566650390625
f000970,7.489812245874154,11.184351441584246,36.81545639038086
f000975,7.479213045223386,13.215013806700075,35.68418884277344
f000980,7.469067051796111,11.305195284739286,36.116424560546875
f000985,7.49312009954498,11.085371846418115,36.190330505371094
f000990,7.540300721296656,13.075296741643122,35.69863510131836
f000995,7.564603098708456,11.165318521194111,
