name,split,t_s,sonar_m,pred_m,residual_m,abs_residual_m,psnr_db,render_ms
f023250,test,930.0,2.524,1.3304340346923507,-1.1935659653076494,1.1935659653076494,36.95161056518555,3.522157669067383
f023255,train,930.2,2.514,1.3448455584571841,-1.1691544415428157,1.1691544415428157,37.954376220703125,3.0052661895751953
f023260,train,930.4,2.522,1.3329199482002598,-1.18908005179974,1.18908005179974,39.71519088745117,3.9980411529541016
f023265,train,930.6,2.574,1.3377266587772068,-1.236273341222793,1.236273341222793,40.507816314697266,4.015922546386719
f023270,train,930.8,2.575,1.4108433927955966,-1.1641566072044036,1.1641566072044036,40.83969497680664,3.518819808959961
f023275,train,931.0,2.575,1.5168430041297405,-1.0581569958702597,1.0581569958702597,40.18928909301758,3.500699996948242
f023280,train,931.2,2.601,1.6171005431780436,-0.9838994568219563,0.9838994568219563,40.281490325927734,3.5085678100585938
f023285,train,931.4,2.595,1.6958616434785008,-0.8991383565214994,0.8991383565214994,40.291839599609375,3.998994827270508
f023290,test,931.6,2.58,1.7552221770662912,-0.8247778229337088,0.8247778229337088,40.242271423339844,3.510713577270508
f023295,train,931.8,2.58,1.7034065815799666,-0.8765934184200335,0.8765934184200335,39.743377685546875,2.9973983764648438
f023300,train,932.0,2.534,1.6751825143343029,-0.8588174856656969,0.8588174856656969,40.214141845703125,3.509044647216797
f023305,train,932.2,2.514,1.6750000701716503,-0.8389999298283495,0.8389999298283495,40.53506851196289,4.509210586547852
f023310,train,932.4,2.52,1.713470299968643,-0.8065297000313569,0.8065297000313569,40.009708404541016,3.503561019897461
f023315,train,932.6,2.515,1.645490509404943,-0.8695094905950571,0.8695094905950571,40.66807174682617,3.9908885955810547
f023320,train,932.8,2.541,1.5839363977781997,-0.9570636022218002,0.9570636022218002,40.84577178955078,4.002571105957031
f023325,train,933.0,2.541,1.525741628729712,-1.0152583712702878,1.0152583712702878,39.32242965698242,4.007101058959961
f023330,test,933.2,2.543,1.4996130981439288,-1.0433869018560713,1.0433869018560713,39.21734619140625,3.9958953857421875
f023335,train,933.4,2.539,1.58795531177781,-0.9510446882221901,0.9510446882221901,40.037960052490234,3.5042762756347656
f023340,train,933.6,2.567,1.7655341849679893,-0.8014658150320109,0.8014658150320109,39.879661560058594,2.9976367950439453
f023345,train,933.8,2.567,1.4455624498733426,-1.1214375501266576,1.1214375501266576,40.524261474609375,2.9964447021484375
f023350,train,934.0,2.592,1.4032379753485456,-1.1887620246514545,1.1887620246514545,40.85468673706055,4.512786865234375
f023355,train,934.2,2.601,1.3958610602718755,-1.2051389397281245,1.2051389397281245,40.796180725097656,3.0028820037841797
f023360,train,934.4,2.61,1.4490029532739546,-1.1609970467260453,1.1609970467260453,41.35310745239258,3.5066604614257812
f023365,train,934.6,2.606,1.4333370140991177,-1.1726629859008821,1.1726629859008821,41.107574462890625,3.0002593994140625
f023370,test,934.8,2.61,1.4184656907993638,-1.191534309200636,1.191534309200636,40.36819076538086,3.8623809814453125
f023375,train,935.0,2.61,1.4118803732200857,-1.1981196267799141,1.1981196267799141,40.924015045166016,3.999471664428711
f023380,train,935.2,2.638,1.4526237767936592,-1.1853762232063407,1.1853762232063407,41.194580078125,4.003047943115234
f023385,train,935.4,2.64,1.5508515127406848,-1.0891484872593153,1.0891484872593153,40.64385223388672,3.5026073455810547
f023390,train,935.6,2.658,1.6786235766937467,-0.9793764233062532,0.9793764233062532,40.54034423828125,4.322052001953125
f023395,train,935.8,2.658,1.942050589210956,-0.7159494107890438,0.7159494107890438,38.89024353027344,3.5021305084228516
f023400,train,936.0,2.675,1.6969869393983916,-0.9780130606016082,0.9780130606016082,37.82440948486328,2.999544143676758
f023490,train,939.6,2.94,1.290719338952558,-1.649280661047442,1.649280661047442,37.36555480957031,4.00233268737793
f023495,test,939.8,2.963,1.5385240110837994,-1.4244759889162006,1.4244759889162006,36.407325744628906,3.0035972595214844
f023500,train,940.0,2.963,1.4992982925299398,-1.4637017074700602,1.4637017074700602,39.269325256347656,2.975940704345703
f023505,train,940.2,2.976,1.4712025622320244,-1.5047974377679756,1.5047974377679756,38.80008316040039,2.50244140625
f023510,train,940.4,2.977,1.521161631854885,-1.4558383681451148,1.4558383681451148,39.685115814208984,2.9997825622558594
f023515,train,940.6,3.007,1.493195580005914,-1.513804419994086,1.513804419994086,39.546485900878906,3.0057430267333984
f023520,train,940.8,3.046,1.3982177424979056,-1.6477822575020942,1.6477822575020942,39.184043884277344,4.541158676147461
f023525,train,941.0,3.046,1.3112769504467536,-1.7347230495532462,1.7347230495532462,40.28423309326172,4.05573844909668
f023530,train,941.2,3.057,1.2688896489492785,-1.7881103510507215,1.7881103510507215,40.54622268676758,3.53240966796875
f023535,test,941.4,3.04,1.2764494553556662,-1.7635505446443338,1.7635505446443338,39.16996765136719,3.5147666931152344
f023540,train,941.6,3.085,1.267946461816741,-1.8170535381832589,1.8170535381832589,40.26572799682617,3.5173892974853516
f023545,train,941.8,3.108,1.252276721721849,-1.8557232782781512,1.8557232782781512,40.664363861083984,3.000974655151367
f023550,train,942.0,3.108,1.272317184504996,-1.835682815495004,1.835682815495004,39.83829879760742,2.989530563354492
f023555,train,942.2,3.133,1.2990900828319132,-1.8339099171680868,1.8339099171680868,41.00020980834961,3.2439231872558594
f023560,train,942.4,3.123,1.266950956137561,-1.8560490438624393,1.8560490438624393,40.588260650634766,3.5059452056884766
f023565,train,942.6,3.152,1.2593124483276759,-1.8926875516723243,1.8926875516723243,39.820648193359375,3.9780139923095703
f023570,train,942.8,3.179,1.2525284767796272,-1.9264715232203726,1.9264715232203726,39.49523162841797,2.9981136322021484
f023575,test,943.0,3.179,1.2596345204064763,-1.9193654795935235,1.9193654795935235,39.344600677490234,3.5130977630615234
f023580,train,943.2,3.196,1.3123246628808105,-1.8836753371191897,1.8836753371191897,39.24884033203125,3.009319305419922
f023585,train,943.4,3.245,1.340599260004856,-1.9044007399951441,1.9044007399951441,39.562461853027344,3.538370132446289
f023590,train,943.6,3.259,1.3035639893204918,-1.9554360106795081,1.9554360106795081,40.02857971191406,3.0059814453125
f023595,train,943.8,3.265,1.2151923744520654,-2.0498076255479347,2.0498076255479347,39.552947998046875,3.000020980834961
f023600,train,944.0,3.265,1.2230928103704648,-2.0419071896295353,2.0419071896295353,41.091896057128906,3.0083656311035156
f023605,train,944.2,3.267,1.1381727662875172,-2.1288272337124825,2.1288272337124825,41.45158767700195,2.020120620727539
f023610,train,944.4,3.291,1.0876157225065506,-2.2033842774934493,2.2033842774934493,40.58894348144531,2.999544143676758
f023615,test,944.6,3.28,1.0881651790380689,-2.191834820961931,2.191834820961931,40.77794647216797,3.499269485473633
f023620,train,944.8,3.285,1.0771839856231116,-2.2078160143768883,2.2078160143768883,41.03363800048828,2.9959678649902344
f023625,train,945.0,3.285,1.1018769981374346,-2.1831230018625654,2.1831230018625654,39.96324157714844,3.6842823028564453
f023630,train,945.2,3.277,1.124600798687832,-2.152399201312168,2.152399201312168,40.55954360961914,2.508878707885742
f023635,train,945.4,3.231,1.1947976435614145,-2.0362023564385856,2.0362023564385856,40.25703430175781,4.005908966064453
f023640,train,945.6,3.224,1.1899292239294526,-2.0340707760705476,2.0340707760705476,39.66697311401367,2.9969215393066406
f023645,train,945.8,3.224,1.2137684827243036,-2.0102315172756966,2.0102315172756966,40.36884689331055,3.507375717163086
f023650,train,946.0,3.223,1.1467551319805376,-2.0762448680194625,2.0762448680194625,39.90130615234375,3.506183624267578
f023655,test,946.2,3.229,1.1743503705405878,-2.054649629459412,2.054649629459412,38.01959228515625,4.006147384643555
f023660,train,946.4,3.181,1.2645185908857244,-1.9164814091142757,1.9164814091142757,39.355918884277344,3.509521484375
f023665,train,946.6,3.139,1.2795973997037895,-1.8594026002962103,1.8594026002962103,39.40121841430664,2.9976367950439453
f023670,train,946.8,3.115,1.3189522377477618,-1.7960477622522384,1.7960477622522384,39.324764251708984,4.512786865234375
f023675,train,947.0,3.115,1.2810904905349103,-1.83390950946509,1.83390950946509,39.75834274291992,2.98309326171875
f023680,train,947.2,3.091,1.260527960202996,-1.8304720397970042,1.8304720397970042,39.3911018371582,4.174947738647461
f023685,train,947.4,3.083,1.144274137310347,-1.938725862689653,1.938725862689653,38.877742767333984,3.5088062286376953
f023690,train,947.6,3.026,1.0730685953291572,-1.9529314046708426,1.9529314046708426,38.63766098022461,3.9997100830078125
f023695,test,947.8,3.026,1.092268384029493,-1.933731615970507,1.933731615970507,36.974082946777344,3.999471664428711
f023700,train,948.0,2.998,1.069572978587744,-1.9284270214122563,1.9284270214122563,38.39739227294922,2.997159957885742
f023705,train,948.2,2.936,1.0368790293570893,-1.8991209706429106,1.8991209706429106,39.817501068115234,3.010272979736328
f023710,train,948.4,2.898,1.0575251799302194,-1.8404748200697807,1.8404748200697807,39.830238342285156,3.5080909729003906
f023715,train,948.6,2.851,1.084722775177429,-1.7662772248225709,1.7662772248225709,39.468082427978516,3.5066604614257812
f023720,train,948.8,2.806,1.108626761404986,-1.697373238595014,1.697373238595014,39.76396942138672,3.515005111694336
f023725,train,949.0,2.806,1.1234912654069937,-1.6825087345930063,1.6825087345930063,39.65403366088867,3.9985179901123047
f023730,train,949.2,2.784,1.1460524089373791,-1.6379475910626207,1.6379475910626207,39.014442443847656,3.999948501586914
f023735,test,949.4,2.718,1.1615525609227466,-1.5564474390772534,1.5564474390772534,39.42848587036133,3.0052661895751953
f023740,train,949.6,2.673,1.1676492366913904,-1.5053507633086096,1.5053507633086096,39.45188522338867,3.5309791564941406
f023745,train,949.8,2.673,1.2058345092760048,-1.4671654907239953,1.4671654907239953,39.04240417480469,4.020214080810547
f023750,train,950.0,2.615,1.222273600306789,-1.392726399693211,1.392726399693211,39.705081939697266,4.504680633544922
f023755,train,950.2,2.525,1.2427944323098616,-1.2822055676901383,1.2822055676901383,39.69254684448242,4.099845886230469
f023760,train,950.4,2.471,1.2429978933245847,-1.2280021066754154,1.2280021066754154,39.19380569458008,2.996206283569336
f023765,train,950.6,2.373,1.2024068619285209,-1.1705931380714794,1.1705931380714794,39.88313674926758,4.5108795166015625
f023770,train,950.8,2.373,1.2012889442652077,-1.1717110557347925,1.1717110557347925,39.8033332824707,4.010438919067383
f023775,test,951.0,2.317,1.179341761115514,-1.1376582388844863,1.1376582388844863,38.87272644042969,4.520654678344727
f023780,train,951.2,2.262,1.1987788837357711,-1.0632211162642289,1.0632211162642289,39.09373474121094,3.5109519958496094
f023785,train,951.4,2.205,1.1643568573811673,-1.0406431426188327,1.0406431426188327,38.41325759887695,4.499673843383789
f023790,train,951.6,2.146,1.1290984050308728,-1.0169015949691271,1.0169015949691271,38.841148376464844,3.515481948852539
f023795,train,951.8,2.146,1.1270813461909572,-1.0189186538090427,1.0189186538090427,38.93879699707031,4.004955291748047
f023800,train,952.0,2.095,1.147931181362343,-0.9470688186376572,0.9470688186376572,38.281742095947266,4.104375839233398
f023805,train,952.2,2.029,1.1533879610605065,-0.8756120389394935,0.8756120389394935,37.00289535522461,3.997802734375
